id,created_at,carbohydrate,protein,fat,sodium,cholesterol
1,2024-06-09 06:59:52.704924+00,20,3,5,200,0
2,2024-06-09 06:59:52.704924+00,6,10,14,300,30
3,2024-06-09 06:59:52.704924+00,10,7,15,350,20
4,2024-06-09 06:59:52.704924+00,45,12,15,600,25
5,2024-06-09 06:59:52.704924+00,35,10,20,400,60
6,2024-06-09 06:59:52.704924+00,40,15,18,500,50
7,2024-06-09 06:59:52.704924+00,35,8,25,350,15
8,2024-06-09 06:59:52.704924+00,45,15,12,450,70
9,2024-06-09 06:59:52.704924+00,50,8,10,400,0
10,2024-06-09 06:59:52.704924+00,25,4,3,300,0
11,2024-06-09 06:59:52.704924+00,20,4,7,50,35
12,2024-06-09 06:59:52.704924+00,20,3,15,40,50
13,2024-06-09 06:59:52.704924+00,2,0,0,5,0
